Edad,Ano ,Origen,lx
70,2018,UE 28,17444
71,2018,UE 28,16210
72,2018,UE 28,13450
73,2018,UE 28,14216
74,2018,UE 28,13074
75,2018,UE 28,12082
76,2018,UE 28,10996
77,2018,UE 28,10112
78,2018,UE 28,9731
79,2018,UE 28,8058
80,2018,UE 28,7013
81,2018,UE 28,5802
82,2018,UE 28,5038
83,2018,UE 28,4373
84,2018,UE 28,3846
85,2018,UE 28,3444
86,2018,UE 28,3263
87,2018,UE 28,2830
88,2018,UE 28,2218
89,2018,UE 28,1777
90,2018,UE 28,7360
0,2019,UE 28,854
1,2019,UE 28,2576
2,2019,UE 28,4116
3,2019,UE 28,4935
4,2019,UE 28,5250
5,2019,UE 28,5196
6,2019,UE 28,5221
7,2019,UE 28,5279
8,2019,UE 28,5407
9,2019,UE 28,6083
10,2019,UE 28,5954
11,2019,UE 28,6447
12,2019,UE 28,7582
13,2019,UE 28,8579
14,2019,UE 28,9415
15,2019,UE 28,10310
16,2019,UE 28,10963
17,2019,UE 28,12051
18,2019,UE 28,13583
19,2019,UE 28,15077
20,2019,UE 28,16094
21,2019,UE 28,16798
22,2019,UE 28,17271
23,2019,UE 28,18695
24,2019,UE 28,19900
25,2019,UE 28,21446
26,2019,UE 28,23062
27,2019,UE 28,24445
28,2019,UE 28,27076
29,2019,UE 28,29722
30,2019,UE 28,32463
31,2019,UE 28,34382
32,2019,UE 28,36028
33,2019,UE 28,36064
34,2019,UE 28,37135
35,2019,UE 28,36534
36,2019,UE 28,38402
37,2019,UE 28,41073
38,2019,UE 28,42234
39,2019,UE 28,42199
40,2019,UE 28,42304
41,2019,UE 28,42849
42,2019,UE 28,42380
43,2019,UE 28,42908
44,2019,UE 28,43544
45,2019,UE 28,41854
46,2019,UE 28,41762
47,2019,UE 28,42176
48,2019,UE 28,41435
49,2019,UE 28,41733
50,2019,UE 28,42739
51,2019,UE 28,42978
52,2019,UE 28,37347
53,2019,UE 28,35695
54,2019,UE 28,33477
55,2019,UE 28,30865
56,2019,UE 28,27733
57,2019,UE 28,25171
58,2019,UE 28,23272
59,2019,UE 28,21942
